id,name,abs_mag,est_dia_min,est_dia_max,epoch,min_orb_inter,jup_tisser,e,a,i,asc_node_long,peri_arg,orb_period,peri_dist,ap_dist,mean_ano,mean_mot,hazard
3684732,(2014 QJ365),27.5,0.008405334,0.0187948982,2456898.5,.00146544,4.202,.4762638202858359,1.61456251725307,1.339056939918879,155.398656257095,115.9501865030544,749.343122641151,.8456048046958069,2.383520229810333,22.96948935140088,.4804207700354094,0
3684734,(2014 QK365),23.2,0.0608912622,0.1361570015,2456901.5,.146079,4.468,.2533530505796777,1.473686425976088,24.46693728274101,333.5920596604888,43.25254453261606,653.440505127093,1.100323474357184,1.847049377594993,337.8205643876872,.5509300344489367,0
3684735,(2014 QL365),27.0,0.0105816886,0.023661375,2459600.5,.0148444,4.375,.3637537439945495,1.543392679128967,8.449224204424956,335.7926845469452,33.95940235266799,700.3466904973606,.981977813642027,2.104807544615908,293.1040754319442,.5140311289889029,0
3684736,(2014 QH390),22.7,0.0766575574,0.1714115092,2459600.5,.293361,3.366,.4618952936608021,2.398388700588051,6.332856315608222,331.3072733933361,29.60818655887617,1356.681119260801,1.290584247417184,3.506193153758919,348.2761426815082,.2653534385413642,0
3685268,(2014 QK390),22.9,0.0699125232,0.1563291544,2456897.5,.248629,3.473,.4448876733395639,2.264232874570241,6.176396563067745,156.7336762922166,149.9575107479811,1244.457485493201,1.256903579103734,3.271562170036749,8.768672461377275,.2892826827726667,0
3685269,(2014 QL390),22.1,0.1010543415,0.2259643771,2459600.5,.237157,3.652,.4025210448254694,2.08485403903637,3.58934027508165,288.3459476729181,34.53771822566663,1099.542219806005,1.24565641293485,2.92405166513789,170.768775876005,.3274089830434303,0
3685270,(2014 QM390),22.5,0.0840533402,0.1879489824,2456907.5,.0985546,3.384,.5468622156049014,2.281283751189151,5.996941407775775,184.9707300667488,104.2121914548811,1258.541055943473,1.033735864590391,3.52883163778791,15.1286177480545,.2860454955361975,0
3685271,(2014 QN390),23.6,0.0506471459,0.1132504611,2456902.5,.212757,3.970,.3236582325345592,1.79231358230945,16.14325311122585,165.1818838527035,195.608306929279,876.434411099151,1.212216536111489,2.37241062850741,350.3473280780066,.4107552093356512,0
3685272,(2014 QO390),21.1,0.160160338,0.358129403,2456901.5,.0274737,3.648,.8590959016591788,1.667332996330022,24.61192842796257,324.9981190448592,232.4856083034606,786.3790668665263,.2349340524817814,3.099731940178262,20.4402099729859,.4577944850878177,1
3685631,(2014 QX390),20.0,0.2658,0.5943468684,2459600.5,.499014,3.902,.3028814412083864,1.782293615189028,28.3080132147826,351.290916283208,91.07918507939004,869.0951049329354,1.24246995636407,2.322117274013986,333.0779199160057,.4142239416108318,0
3685633,(2014 QC391),27.4,0.0088014652,0.0196806745,2456902.5,.00123546,4.301,.4022658082742637,1.580490858289193,2.087116820792359,345.3192501336997,36.67571847169341,725.7489382483575,.944713425709406,2.21626829086898,342.3612290021102,.4960393064699254,0
3685634,(2014 QD391),21.5,0.1332155667,0.2978790628,2459600.5,.183598,4.102,.4466493812418075,1.553265946955532,39.71107131451227,162.3925323644635,90.61857285781636,707.0777292043193,.8595006728438735,2.247031221067191,334.7634350044431,.5091378007409612,0
3685635,(2014 QE391),22.9,0.0699125232,0.1563291544,2459600.5,.167692,3.592,.4458847750891944,2.120030999735303,5.281269995889868,167.1271010946229,160.6630847269712,1127.487521242144,1.174741454236208,3.065320545234398,143.9628201219056,.3192939994612009,0
3685807,(2014 QW432),21.37,0.1414343753,0.3162568776,2459600.5,.209034,5.051,.04297996842908131,1.246480003994786,26.32502760626845,345.5311529982536,214.8036690972257,508.307363178097,1.192906332775609,1.300053675213963,242.7098377996382,.7082329041018944,0
